Gold standard,,,,,,,,,,Transferrable Skills,,,,,,,,,Skills,,,
“/5”,3.0,2.0,3.5,2.0,2.5,3.0,1.5,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,6.5,,1.0,1.0,1.0,
Options //10,Skills,Connections ,Credentials,Runway,Personal fit,Supporting conditions/Job satisfaction,Impact,Total,,Personal prod,Critical thinking,learn quickly,Decision-making,Social skills,management,team workingish,Transferable skills,,Trans skills,Knowledge,Personality trait,AVG
design engineering in netherlands,5.0,3.0,4.0,5.0,8.0,8.0,2.0,92.0,,4.0,5.0,8.0,4.0,3.0,4.5,6.5,31.8,,4.9,4.0,5.0,4.6
DS,,,,,,,,,,6.0,7.5,7.0,6.0,4.0,4.5,6.5,38.3,,5.9,8.0,6.0,6.6
programming,,,,,,,,,,6.0,7.5,7.0,5.5,3.0,4.0,6.5,36.3,,5.6,7.5,6.0,6.4
Machine learning PhD,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0
Economics PhD,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0
Working in an NGO,,,,,,,,,,,,,,,,,0.0,,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
80k stuff,,,,,,,,,,,,,,,,,,,,,,
Congressional staffer,,,,,,,,,,,,,,,,,,,,,,
